strain,tempreture,strain_rate,flow_stress
1.284156109,-40,0.3,175.7480566
1.30669626,-40,0.3,174.8180458
1.331017049,-40,0.3,173.5868815
1.34212637,-40,0.3,173.1726922
1.366027998,-40,0.3,172.0704177
1.378858027,-40,0.3,171.3943287
1.403628441,-40,0.3,170.1616719
1.429065657,-40,0.3,168.8389573
1.449623044,-40,0.3,166.8652401
1.462140109,-40,0.3,166.2485021
1.490609819,-40,0.3,164.4185265
1.518349949,-40,0.3,162.7228911
1.531805201,-40,0.3,161.9382437
1.560771898,-40,0.3,160.0156656
1.590558555,-40,0.3,157.968685
1.606599535,-40,0.3,156.7585672
1.637851366,-40,0.3,154.47527
1.668724406,-40,0.3,152.126922
1.682973227,-40,0.3,151.0689165
1.711895172,-40,0.3,148.9010299
1.726220264,-40,0.3,147.8432701
1.751651012,-40,0.3,146.1981045
1.774711784,-40,0.3,144.8965409
1.785987789,-40,0.3,144.2818332
1.805579765,-40,0.3,143.4857115
1.822938816,-40,0.3,143.0067933
1.831282698,-40,0.3,142.8164941
1.845611944,-40,0.3,142.7730992
1.858067978,-40,0.3,143.0014534
1.863396073,-40,0.3,143.239389
0.0033898,0,0.3,0.980392
0.0067797,0,0.3,3.92157
0.0101695,0,0.3,6.86275
0.0135593,0,0.3,9.80392
0.0169492,0,0.3,12.7451
0.0190118,0,0.3,19.3299
0.0223186,0,0.3,23.8402
0.0256255,0,0.3,28.9948
0.0289324,0,0.3,34.1495
0.0322393,0,0.3,39.3041
0.0355461,0,0.3,44.4588
0.038853,0,0.3,48.9691
0.0421599,0,0.3,54.1237
0.0454668,0,0.3,59.2784
0.0487737,0,0.3,64.433
0.0520805,0,0.3,68.9433
0.0553874,0,0.3,74.0979
0.0586943,0,0.3,79.2526
0.0620012,0,0.3,84.4072
0.065308,0,0.3,89.5619
0.0686147,0,0.3,94.0722
0.0719217,0,0.3,99.8711
0.072583214,0,0.3,106.5876999
0.078953166,0,0.3,115.8469326
0.0819803,0,0.3,120.973339
0.088749675,0,0.3,131.6153977
0.09522378,0,0.3,142.9231455
0.098300647,0,0.3,148.7034285
0.10484666,0,0.3,160.4752026
0.111426168,0,0.3,172.0158953
0.115597951,0,0.3,177.4775884
0.122258558,0,0.3,188.3194354
0.125419875,0,0.3,193.5913924
0.132136607,0,0.3,203.2048002
0.138898759,0,0.3,211.8727876
0.142471007,0,0.3,215.4118027
0.149303644,0,0.3,222.0498566
0.156183288,0,0.3,227.78879
0.159453871,0,0.3,230.4227724
0.166403945,0,0.3,234.6970223
0.173402661,0,0.3,238.1763039
0.177110839,0,0.3,239.4873036
0.184185159,0,0.3,241.8605547
0.187559174,0,0.3,242.9223215
0.19507471,0,0.3,244.2459485
0.202288276,0,0.3,245.0918813
0.206094743,0,0.3,245.2546361
0.213377864,0,0.3,245.6468607
0.220703669,0,0.3,245.8387844
0.224203395,0,0.3,245.8851467
0.2316201,0,0.3,245.5266432
0.236336859,0,0.3,244.930034
0.243844443,0,0.3,244.151477
0.251408817,0,0.3,243.0818459
0.255407312,0,0.3,242.4961602
0.263059997,0,0.3,241.1368183
0.266700164,0,0.3,240.4226594
0.274848529,0,0.3,238.7944466
0.282652035,0,0.3,237.1513606
0.286375837,0,0.3,236.3233352
0.294270175,0,0.3,234.5696644
0.30222733,0,0.3,232.7105636
0.306434713,0,0.3,231.733518
0.314501454,0,0.3,229.8211523
0.322609991,0,0.3,227.9136383
0.326916152,0,0.3,226.8830015
0.335138451,0,0.3,224.974256
0.343428918,0,0.3,223.0172415
0.347374321,0,0.3,222.0888072
0.355767281,0,0.3,220.1827703
0.360218939,0,0.3,219.1551369
